distance,optical,sound,impuls,velocity
10,0,42,0.2,100
20,29,21,0.128,312.5
30,56,29,0.168,357.1428571
60,112,67,0.34,352.9411765
90,133,92,0.48,375
100,136,94,0.514,389.1050584
120,161,118,0.663,361.9909502
140,179,134,0.76,368.4210526
150,186,146,0.852,352.1126761
180,223,176,0.97,371.1340206
220,262,222,1.24,354.8387097
260,300,267,1.47,353.7414966
300,343,310,1.73,346.8208092
340,363,337,1.92,354.1666667
380,379,369,2.09,363.6363636
420,432,400,2.29,366.8122271
460,470,458,2.54,362.2047244
500,513,502,2.8,357.1428571
540,560,542,3.03,356.4356436
580,594,592,3.29,352.5835866
620,633,633,3.57,347.3389356
660,671,655,3.66,360.6557377
700,710,697,3.9,358.974359
740,746,735,4.17,354.9160671
780,782,795,4.36,357.7981651
820,850,758,4.32,379.6296296
860,886,777,4.39,391.7995444
900,910,780,4.38,410.9589041
940,937,781,4.37,430.2059497
980,969,782,4.38,447.4885845
1000,982,790,4.37,457.6659039
